Numer umowy,Klient,E-mail klienta,Przedmiot umowy,Kategoria usługi,Status,Typ,Kwota miesięczna,Data rozpoczęcia,Data zakończenia,Data aktualizacji,Usługi,Uwagi,Numer rachunku
UMW/2024/001,Agencja Reklamowa Thomas&Mark,biuro@thomasmark.pl,Dbanie o techniczne SEO strony internetowej,Optymalizacja strony internetowej,Podpisana,Przychodowa,199,2024-04-04,,2024-06-06,SEO Techniczne,"Nie działa strona, Błąd logowania do mailerlite",PL 85 1240 4852 4696 0190 1125 6871
UMW/2024/002,Kawiarnia Czekoladowa CocoaCraze,kontakt@cocoacraze.pl,Obsługa reklam na mediach społecznościowych,Kampania na mediach społecznościowych,Po stronie klienta,Przychodowa,600,2024-03-18,,2024-06-06,Obsługa reklam,,PL 19 8004 0002 3444 2241 8277 9674
UMW/2024/003,Wydawnictwo Mój Warsztat,biuro@mojwarsztat.pl,Obsługa strony i sklepu wydawnictwomojwarsztat.com.pl,,W przygotowaniu,Przychodowa,1097,2023-10-04,,2024-06-03,"Obsługa sklepu, Tworzenie treści, WordPress",Spadek w wyszukiwarce,PL 85 1240 4852 4696 0190 1125 6871
UMW/2024/004,Hairstyle Haven,info@hairstylehaven.pl,Wsparcie SEO,Tworzenie strategii content marketingowej,Podpisana,Przychodowa,200,2024-04-02,2025-09-29,2024-05-24,"Obsługa GSC, Tworzenie treści",,PL 04 1090 2558 3842 3824 8846 1675
UMW/2024/005,Centrum pomiarów technicznych sp z o.o.,biuro@centpom.pl,Budowa aplikacji do pomiarów,,Podpisana,Przychodowa,0,2024-02-05,2024-05-31,2024-05-24,app development,,PL 05 1020 5587 9291 7135 6032 1084
UMW/2024/006,HostingFirma Sp. z o.o.,kontakt@hostingfirma.pl,Hosting 2021,,Wygasła,Kosztowa,0,2024-02-15,,2024-05-22,,,PL 11 8035 0000 6984 0466 1998 6715
UMW/2024/007,Fitnes Studio BodySculpt,studio@bodysculpt.pl,Wsparcie SEO/Ads,Analiza konkurencji,Podpisana,Przychodowa,399,2024-02-13,,2024-05-22,Google Ads,,PL 74 9375 1054 9614 7700 1731 7346
UMW/2024/008,,,,Landing page i obsługa hostingu,,Podpisana,Przychodowa,1000,,,2024-05-22,"budowa landing page, DNS, Skrzynki mailowe, Obsługa hostingu",,
UMW/2024/009,GadżetomaniaMAX,kontakt@gadzetomaniamax.pl,Wsparcie techniczne,Google Ads,W przygotowaniu,Przychodowa,1150,,,2024-05-15,"Google Ads, Google Moja Firma, WordPress, Obsługa GSC, Google Analytics, DNS, Obsługa hostingu, Skrzynki mailowe",,PL 11 8035 0000 6984 0466 1998 6715
UMW/2024/010,AudioVideoSoft,biuro@audiovideo.pl,Subskrypcja aplikacji do produkcji video,,Podpisana,Kosztowa,120,2024-04-01,,2024-05-07,,,PL 19 8004 0002 3444 2241 8277 9674
UMW/2024/011,Portal FashionFusion,hello@fashionfusion.pl,Wsparcie WordPress i Google Ads,,Podpisana,Przychodowa,899,2024-02-22,,2024-05-07,"WordPress, Google Ads",,PL 82 1020 5659 5416 0713 4247 7140
UMW/2024/012,OptimizeToolbox Polska,info@optimizetoolbox.pl,Subskrypcja narzędzi do analizy SEO,,Podpisana,Kosztowa,99,2024-02-01,,2024-05-06,,,PL 78 1020 3378 3709 2587 1218 3527
UMW/2024/013,Biuro Rachunkowe Balance Books,biuro@balancebooks.pl,Prowadzenie księgowości,,Podpisana,Kosztowa,300,2024-01-01,,2024-05-05,,,PL 11 8035 0000 6984 0466 1998 6715
UMW/2024/014,HostingFirma Sp. z o.o.,kontakt@hostingfirma.pl,Hosting,,Podpisana,Kosztowa,800,2024-02-15,,2024-05-04,,,PL 78 1020 3378 3709 2587 1218 3527
UMW/2024/015,Air Telekom,kontakt@airtelekom.pl,Usługi telekomunikacyjne 2024,,Podpisana,Kosztowa,130,2024-02-15,,2024-05-03,,,PL 19 8004 0002 3444 2241 8277 9674
UMW/2024/016,Air Telekom,kontakt@airtelekom.pl,Usługi telekomunikacyjne 2022,,Wygasła,Kosztowa,0,2024-02-15,,2024-05-02,,,PL 19 8004 0002 3444 2241 8277 9674
